Date,Open,High,Low,Close,Volume,Adj Close
2009-10-19,47.45,48.13,47.44,47.88,11900,47.88
2009-10-16,47.50,48.85,47.04,47.04,20600,47.04
2009-10-15,48.77,49.35,47.03,47.42,21000,47.42
2009-10-14,49.50,49.50,48.75,49.20,16500,49.20
2009-10-13,49.12,49.18,48.88,49.10,4200,49.10
2009-10-12,49.44,49.49,49.02,49.24,7800,49.24
2009-10-09,48.23,49.09,48.06,49.05,14300,49.05
2009-10-08,48.31,48.85,47.97,48.00,16800,48.00
2009-10-07,47.96,48.35,47.72,47.83,9900,47.83
2009-10-06,47.61,48.00,47.21,47.75,9500,47.75
2009-10-05,47.16,47.47,47.13,47.17,13800,47.17
2009-10-02,47.25,47.47,47.00,47.12,14800,47.12
2009-10-01,48.35,48.57,47.61,47.61,20000,47.61
2009-09-30,48.82,49.33,48.25,48.43,20900,48.43
2009-09-29,48.81,49.34,48.65,48.65,8100,48.65
2009-09-28,48.86,49.26,48.51,48.72,9900,48.72
2009-09-25,48.00,49.03,48.00,48.80,12600,48.80
2009-09-24,48.97,49.45,48.27,48.27,26400,48.27
2009-09-23,48.85,49.79,48.85,48.96,14000,48.96
2009-09-22,49.37,49.46,48.53,48.71,30500,48.71
2009-09-21,49.32,49.48,49.05,49.34,11000,49.34
2009-09-18,49.19,49.46,48.81,49.05,22800,49.05
2009-09-17,49.44,49.92,49.00,49.00,16300,49.00
2009-09-16,49.88,50.07,49.51,49.75,14500,49.75
2009-09-15,49.38,50.07,49.01,49.91,14700,49.91
2009-09-14,48.70,49.60,48.14,49.60,20500,49.60
2009-09-11,49.60,50.16,49.12,49.12,27700,49.12
2009-09-10,49.64,49.92,48.19,49.56,31400,49.56
2009-09-09,48.57,49.23,48.28,49.19,30400,49.19
2009-09-08,50.15,50.46,47.68,48.47,30800,48.47
2009-09-04,49.56,49.95,49.09,49.85,14700,49.85
2009-09-03,48.68,49.38,47.14,49.08,35400,49.08
2009-09-02,48.94,51.12,47.74,48.25,90600,48.25
2009-09-01,53.41,54.08,48.38,48.90,74400,48.90
2009-08-31,54.21,55.55,54.00,54.06,45100,54.06
2009-08-28,55.80,55.80,54.18,54.32,16100,54.32
2009-08-27,55.00,55.47,54.82,55.26,13500,55.26
2009-08-26,55.22,55.65,54.36,55.53,9300,55.53
2009-08-25,54.99,55.54,54.52,55.54,7400,55.54
2009-08-24,55.72,55.72,54.95,55.17,9000,55.17
2009-08-21,55.63,56.00,54.01,55.58,20800,55.58
2009-08-20,54.70,55.07,53.93,54.81,13000,54.81
2009-08-19,54.11,54.69,53.57,54.69,6100,54.69
2009-08-18,54.00,54.74,53.92,54.74,10900,54.74
2009-08-17,54.00,54.52,53.30,54.31,26200,54.31
2009-08-14,54.94,55.02,54.00,54.03,11000,54.03
2009-08-13,55.06,55.06,54.51,54.84,5600,54.84
2009-08-12,54.13,54.79,53.84,54.65,10300,54.65
2009-08-11,53.80,54.89,53.50,54.02,11400,54.02
2009-08-10,54.00,54.52,53.40,54.12,21000,54.12
2009-08-07,55.26,55.26,54.31,54.64,15100,54.64
2009-08-06,55.44,55.44,54.26,54.32,8900,54.32
2009-08-05,55.45,55.83,53.80,55.83,28200,55.83
2009-08-04,56.02,57.80,54.33,55.74,20500,55.49
2009-08-03,57.26,57.50,55.01,56.53,10700,56.28
2009-07-31,56.57,58.00,56.52,56.52,11900,56.27
2009-07-30,57.10,57.60,56.63,57.03,12000,56.77
2009-07-29,56.99,57.10,56.40,57.08,10600,56.82
2009-07-28,55.96,57.17,55.56,57.15,10600,56.89
2009-07-27,55.65,56.78,55.06,56.48,21900,56.23
2009-07-24,54.35,55.45,54.35,55.18,6800,54.93
2009-07-23,54.15,55.63,53.80,54.86,26500,54.61
2009-07-22,53.40,54.15,53.40,54.13,8600,53.89
2009-07-21,56.08,56.18,53.52,54.14,40800,53.90
2009-07-20,55.99,56.20,54.17,55.57,18800,55.32
2009-07-17,55.71,56.36,55.01,55.81,14800,55.56
2009-07-16,54.49,55.85,54.34,55.55,28500,55.30
2009-07-15,54.59,55.03,53.52,54.99,33300,54.74
2009-07-14,54.32,54.65,53.79,54.25,7700,54.01
2009-07-13,54.50,54.50,53.01,54.18,7600,53.94
2009-07-10,53.57,54.22,53.57,54.22,6100,53.98
2009-07-09,52.86,54.37,52.86,53.14,10100,52.90
2009-07-08,54.55,54.55,52.64,52.75,15100,52.51
2009-07-07,55.20,55.49,53.67,54.09,8400,53.85
